from,to,weight
H3K9me2K14ac0,H3K79me1,2.533980388
H3K79me1,H3K9me2K14ac0,2.533980388
H3K9me0K14ac1,H3K27me0K36me0,2.526623261
H3K27me0K36me0,H3K9me0K14ac1,2.526623261
H3K27me2K36me2,H3.3K27me0K36me0,2.331995418
H3.3K27me0K36me0,H3K27me2K36me2,2.331995418
H3K18ac0K23ac0,H3K56me0,2.286381842
H3K56me0,H3K18ac0K23ac0,2.286381842
H3K27me0K36me0,H3K27me2K36me2,2.257741222
H3K27me2K36me2,H3K27me0K36me0,2.257741222
H3K27me3K36me0,H3K27me3K36me1,2.256904318
H3K27me3K36me1,H3K27me3K36me0,2.256904318
H3K4me0,H3K9me1K14ac0,2.218956895
H3K9me1K14ac0,H3K4me0,2.218956895
H3K27me1K36me3,H3K27me2K36me2,2.203239863
H3K27me2K36me2,H3K27me1K36me3,2.203239863
H3K9me0K14ac0,H3K9me0K14ac1,2.147709264
H3K9me0K14ac1,H3K9me0K14ac0,2.147709264
H3K18ac0K23ub1,H3K56me1,2.114091388
H3K56me1,H3K18ac0K23ub1,2.114091388
H3K9me2K14ac0,H3K9me2K14ac1,2.104868235
H3K9me2K14ac1,H3K9me2K14ac0,2.104868235
H3K27me2K36me0,H3K27me3K36me0,2.059036527
H3K27me3K36me0,H3K27me2K36me0,2.059036527
H3K9me1K14ac1,H3K79me0,2.036206646
H3K79me0,H3K9me1K14ac1,2.036206646
H3K4ac1,H3K27me1K36me1,2.019591115
H3K27me1K36me1,H3K4ac1,2.019591115
H3K56me1,H3K79me2,2.005086131
H3K79me2,H3K56me1,2.005086131
H3K56me0,H3K79me0,1.985587494
H3K79me0,H3K56me0,1.985587494
H3K27me2K36me0,H3K27me3K36me1,1.985095771
H3K27me3K36me1,H3K27me2K36me0,1.985095771
H3K27me0K36me0,H3.3K27me0K36me0,1.963434806
H3.3K27me0K36me0,H3K27me0K36me0,1.963434806
H3K18ac1K23ac0,H3K56me1,1.954612695
H3K56me1,H3K18ac1K23ac0,1.954612695
H3K4me0,H3K9me1K14ac1,1.942340362
H3K9me1K14ac1,H3K4me0,1.942340362
H3K27me1K36me2,H3K56me1,1.93643764
H3K56me1,H3K27me1K36me2,1.93643764
H3K18ac0K23ub1,H3K27me1K36me3,1.913895989
H3K27me1K36me3,H3K18ac0K23ub1,1.913895989
H3K4ac1,H3.3K27me0K36me0,1.901949693
H3.3K27me0K36me0,H3K4ac1,1.901949693
H3K9me2K14ac1,H3K27me1K36me2,1.90018112
H3K27me1K36me2,H3K9me2K14ac1,1.90018112
H3K18ac1K23ac0,H3K27me3K36me0,1.882576258
H3K27me3K36me0,H3K18ac1K23ac0,1.882576258
H3K4me1,H3K56me1,1.878433966
H3K56me1,H3K4me1,1.878433966
H3K27me1K36me3,H3.3K27me0K36me0,1.855302637
H3.3K27me0K36me0,H3K27me1K36me3,1.855302637
H3K9me2K14ac1,H3K56me0,1.85024095
H3K56me0,H3K9me2K14ac1,1.85024095
H3K18ac1K23ac0,H3K27me3K36me1,1.844722935
H3K27me3K36me1,H3K18ac1K23ac0,1.844722935
H3K27me1K36me1,H3K56me0,1.835634362
H3K56me0,H3K27me1K36me1,1.835634362
H3K18ac0K23ub1,H3K27me3K36me0,1.827795768
H3K27me3K36me0,H3K18ac0K23ub1,1.827795768
H3K27me2K36me1,H3K27me2K36me2,1.827450522
H3K27me2K36me2,H3K27me2K36me1,1.827450522
H3K27me1K36me3,H3K27me2K36me1,1.802930018
H3K27me2K36me1,H3K27me1K36me3,1.802930018
H3K18ac1K23ac0,H3K79me2,1.788483903
H3K79me2,H3K18ac1K23ac0,1.788483903
H3K9me1K14ac0,H3K27me3K36me0,1.783087944
H3K27me3K36me0,H3K9me1K14ac0,1.783087944
H3K27me2K36me0,H3K27me2K36me1,1.773874036
H3K27me2K36me1,H3K27me2K36me0,1.773874036
H3K27me3K36me1,H3.3K27me0K36me0,1.768184333
H3.3K27me0K36me0,H3K27me3K36me1,1.768184333
H3K9me1K14ac1,H3K27me1K36me2,1.767947079
H3K27me1K36me2,H3K9me1K14ac1,1.767947079
H3K18ac1K23ac0,H3K18ac0K23ub1,1.758057343
H3K18ac0K23ub1,H3K18ac1K23ac0,1.758057343
H3K4me0,H3K27me2K36me1,1.751448017
H3K27me2K36me1,H3K4me0,1.751448017
H3K9me1K14ac1,H3K9me2K14ac1,1.725471759
H3K9me2K14ac1,H3K9me1K14ac1,1.725471759
H3K18ac0K23ac0,H3K79me0,1.723459235
H3K79me0,H3K18ac0K23ac0,1.723459235
H3K4ac1,H3K27me0K36me0,1.713081346
H3K27me0K36me0,H3K4ac1,1.713081346
H3K18ac0K23ub1,H3K27me2K36me2,1.697833965
H3K27me2K36me2,H3K18ac0K23ub1,1.697833965
H3K27me1K36me1,H3K79me0,1.697205467
H3K79me0,H3K27me1K36me1,1.697205467
