BroadID	ACH-000953	ACH-000059	ACH-000197	ACH-000874	ACH-000061	ACH-000519	ACH-000104	ACH-000960	ACH-000782	ACH-000080	ACH-000795	ACH-000105	ACH-000728	ACH-000981	ACH-000130	ACH-000942	ACH-001130	ACH-000938	ACH-000937	ACH-000032	ACH-000101	ACH-000156	ACH-000492	ACH-001106	ACH-000636	ACH-000372	ACH-000995	ACH-000070	ACH-000020	ACH-000918	ACH-000922	ACH-000964
H3K4me0	-0.089839793	0.122062431	0.080633147	-0.25690461	-0.007953258	-0.104087543	-0.212697537	-0.129929325	-0.12601514	0.041978686	-0.082124679	-0.01379052	-0.335130864	-0.021369376	-0.378960676	-0.508995551	-0.100872306	0.10113711	-0.088611064	-0.465134441	-0.10938802	0.377863696	0.069141493	-0.544669565	-0.163643426	-0.315639442	-0.012333925	0.054659221	-0.927508478	0.018053483	-0.050026313	-0.058256744
H3K4me1	-1.332841108	0.067744194	-0.060148872	-0.52364142	-0.677499637	-0.742484187	0.348972497	-0.397048401	-0.326599866	-0.156586256	0.26817827	-0.303065286	-0.489380873	-1.1147216	-0.848958464	-0.708652062	-0.623696795	-0.600085023	-0.8995822	-1.046527486	-0.375529375	-0.174213964	-0.241034529	-0.93510784	0.175841441	-0.062013573	-0.905188606	-0.066333098	-1.978786555	-0.452086993	-0.057058301	-0.66748979
H3K4me2	-0.425511283	0.212684188	-0.489416543	0.11570067	-0.534257487	-0.395453633	0.304294432	-0.351436874	0.263490525	0.818505615	-0.075660352	0.211491059	-0.55569955	-0.246732161	-0.494732016	-0.140422378	0.74044989	-0.594520038	-0.668339817	-0.805144051	-0.254102621	-0.147836133	-0.964739157	-0.569825499	0.359320105	0.639095771	-0.605845134	-0.054626938	-1.28173155	0.195864521	-0.335242036	-0.287479091
H3K4ac1	0.656432124	0.317818937	1.921577847	-0.712019558	0.556702772	0.043564027	0.851781543	0.648524249	0.079864494	0.051902419	0.276476975	0.47489997	-0.141775227	0.440020141	-0.242520645	0.456024497	-0.246985868	-0.262602286	0.514560747	-0.783740986	0.255339054	0.344585396	-0.296376025	-0.000508094	0.257017684	-0.381634524	0.380169919	-1.506574326	-0.598533568	0.460387952	0.209336784	0.64950819
H3K9me0K14ac0	-0.239654766	-0.11813545	-0.540809006	-0.614087127	-0.105066264	0.543501412	-0.176835657	-0.859700853	-0.171447486	0.512889048	-0.023537499	-0.058503645	-0.387244326	-0.096045959	-0.136200509	0.030868631	0.094925407	0.216924961	-0.016524321	-0.865130251	-1.059392311	0.313158005	-0.168398355	-0.184623496	-0.028786496	-0.545389989	0.072321624	-0.067920712	-0.695370876	-0.216745753	-0.55477658	0.101182729
H3K9me1K14ac0	-0.490586371	-0.060875029	-0.35034889	-0.447775251	-0.054950568	-0.184072706	-0.501295638	-0.116179102	-0.299887327	0.046333819	-0.252410496	0.056580982	-0.202760132	-0.391391275	-0.54812989	-0.114180656	-0.152037642	-0.20919387	-0.499974491	-0.755109436	-0.885771428	0.387529538	-0.076858798	-0.642669826	-0.424231726	-0.593518091	-0.555570226	0.045844226	-0.76572137	0.043513596	-0.377777214	-0.171201143
H3K9me2K14ac0	-0.438727611	0.196945998	-0.207691941	-0.250120201	-0.202257726	-0.639615373	-0.609073673	-0.083670868	-0.004962834	-0.080249088	-0.231093875	-0.238426188	0.146585072	-0.458187366	-0.579255786	-0.389473582	-0.174771618	-0.185371435	-0.769173047	-0.208475267	-0.412575563	0.294956195	0.27294443	-0.006454262	-0.172551143	-0.52605016	-1.324786692	0.188294112	-0.879591812	-0.258560554	-0.538777616	-0.383022678
H3K9me3K14ac0	-0.682900305	-0.01700354	0.015817785	-0.532981638	-0.592456558	-0.954419369	-0.211253415	0.136725302	-0.371691994	-0.4471851	-0.384898058	-0.519459109	-0.30863858	-0.497650743	-0.32778576	-1.300937838	-0.736068325	-0.566181287	-1.389375634	-0.840858163	-0.452572723	-0.251334127	-0.326175999	-0.392950504	-0.779210136	-0.928267762	-1.021743098	0.151668375	-1.048094244	-0.475441348	-0.266053986	-0.834597735
H3K9ac1K14ac0	0.050614017	-0.032746088	-0.720372058	-0.403488074	0.359833882	-0.567982715	0.172756913	-0.602542878	-0.552015688	0.784072111	-0.009339101	0.667628449	-0.806697934	0.567898413	-0.823579942	-0.408339554	0.81743116	-0.108393217	0.734153436	-1.201406747	-0.794065696	-0.005365728	-0.40708267	-0.203126063	-0.520015242	-0.245678511	-1.579313803	-1.087521607	-0.856441324	0.378463117	-0.949832796	0.448975197
H3K9me0K14ac1	0.827303007	0.308023187	0.609976523	0.037057568	0.740911746	0.603166821	0.669086333	-0.390704622	0.227398911	1.055267884	0.158293074	0.525358081	-0.191196571	0.782035949	-0.270326543	0.673794567	0	0.264491081	1.277755339	-0.979801518	-0.790149276	0.189055705	0.432122219	-0.18975424	0.572230166	0.384960078	0.702243147	0.233188836	-0.195126785	0.39801586	-0.26105147	0.728765801
