from	to	weight
MTRNR2L1	MTRNR2L2	1.983125625
MTRNR2L2	MTRNR2L1	1.983125625
PABPC1	TPT1	1.92337496
TPT1	PABPC1	1.92337496
OLIG1	OLIG2	1.904921894
OLIG2	OLIG1	1.904921894
OLIG2	SALL3	1.877107468
SALL3	OLIG2	1.877107468
PDGFRA	SALL3	1.864843157
SALL3	PDGFRA	1.864843157
MTRNR2L2	TPT1	1.858778736
TPT1	MTRNR2L2	1.858778736
SOX6	PDGFRA	1.857418263
PDGFRA	SOX6	1.857418263
SOX9	PTPRZ1	1.835564585
PTPRZ1	SOX9	1.835564585
S100B	PTPRZ1	1.829273294
PTPRZ1	S100B	1.829273294
MTRNR2L2	PABPC1	1.828253301
PABPC1	MTRNR2L2	1.828253301
PDGFRA	OLIG2	1.814662631
OLIG2	PDGFRA	1.814662631
SOX6	SALL3	1.808445214
SALL3	SOX6	1.808445214
OLIG1	PDGFRA	1.807155042
PDGFRA	OLIG1	1.807155042
MTRNR2L1	TPT1	1.80295438
TPT1	MTRNR2L1	1.80295438
MTSS1	OLIG2	1.797423796
OLIG2	MTSS1	1.797423796
S100B	TPT1	1.794419998
TPT1	S100B	1.794419998
TPT1	PTPRZ1	1.778919953
PTPRZ1	TPT1	1.778919953
MTRNR2L1	PABPC1	1.76303755
PABPC1	MTRNR2L1	1.76303755
SOX6	MTSS1	1.762586913
MTSS1	SOX6	1.762586913
MTSS1	SALL3	1.760371005
SALL3	MTSS1	1.760371005
MTSS1	PDGFRA	1.745423812
PDGFRA	MTSS1	1.745423812
GATA2	PTPRZ1	1.736715163
PTPRZ1	GATA2	1.736715163
OLIG1	S100B	1.730391507
S100B	OLIG1	1.730391507
SOX6	OLIG2	1.720719536
OLIG2	SOX6	1.720719536
PABPC1	PTPRZ1	1.697737643
PTPRZ1	PABPC1	1.697737643
OLIG1	SALL3	1.691436049
SALL3	OLIG1	1.691436049
S100B	MTRNR2L2	1.660386546
MTRNR2L2	S100B	1.660386546
S100B	MTRNR2L1	1.631240534
MTRNR2L1	S100B	1.631240534
SOX9	TPT1	1.579373816
TPT1	SOX9	1.579373816
MTRNR2L2	PTPRZ1	1.555512453
PTPRZ1	MTRNR2L2	1.555512453
SOX9	PABPC1	1.480487163
PABPC1	SOX9	1.480487163
OLIG1	EGR3	1.458788034
EGR3	OLIG1	1.458788034
EMP1	MTRNR2L1	1.457810724
MTRNR2L1	EMP1	1.457810724
SOX9	GATA2	1.456674446
GATA2	SOX9	1.456674446
S100B	PABPC1	1.413682471
PABPC1	S100B	1.413682471
EMP1	MTRNR2L2	1.402329927
MTRNR2L2	EMP1	1.402329927
MTRNR2L1	PTPRZ1	1.298456992
PTPRZ1	MTRNR2L1	1.298456992
SOX9	HMGB3	1.288654818
HMGB3	SOX9	1.288654818
SOX6	PTPRZ1	1.286992197
PTPRZ1	SOX6	1.286992197
PDGFRA	PTPRZ1	1.248700455
PTPRZ1	PDGFRA	1.248700455
SOX9	OLIG2	1.245550479
OLIG2	SOX9	1.245550479
GATA2	TPT1	1.236854708
TPT1	GATA2	1.236854708
SOX9	MTRNR2L2	1.227097848
MTRNR2L2	SOX9	1.227097848
HMGB3	MTRNR2L2	1.220332874
MTRNR2L2	HMGB3	1.220332874
MTSS1	HMGB3	1.214765887
HMGB3	MTSS1	1.214765887
EMP1	PABPC1	1.140899691
PABPC1	EMP1	1.140899691
EMP1	OLIG2	1.138230779
OLIG2	EMP1	1.138230779
PDGFRA	HMGB3	1.126917143
HMGB3	PDGFRA	1.126917143
PDGFRA	S100B	1.122371106
S100B	PDGFRA	1.122371106
HMGB3	TPT1	1.109273359
TPT1	HMGB3	1.109273359
PDGFRA	GATA2	1.103310643
GATA2	PDGFRA	1.103310643
SOX6	TPT1	1.093894462
TPT1	SOX6	1.093894462
MTSS1	MTRNR2L1	1.093763087
MTRNR2L1	MTSS1	1.093763087
SOX9	S100B	1.047987897
S100B	SOX9	1.047987897
SOX6	EMP1	1.037896563
EMP1	SOX6	1.037896563
MTRNR2L1	EGR3	1.026584121
EGR3	MTRNR2L1	1.026584121
SOX6	MTRNR2L2	1.025467897
MTRNR2L2	SOX6	1.025467897
MTRNR2L2	EGR3	1.02509575
EGR3	MTRNR2L2	1.02509575
SOX9	MTRNR2L1	1.024250616
MTRNR2L1	SOX9	1.024250616
EGR3	OLIG2	1.021483632
OLIG2	EGR3	1.021483632
GATA2	PABPC1	1.013263431
PABPC1	GATA2	1.013263431
HMGB3	SALL3	1.007488051
SALL3	HMGB3	1.007488051
MTSS1	EMP1	1.005874538
