from	to	weight
EIF2D	ZNF579	1.994427422
ZNF579	EIF2D	1.994427422
POLD1	EIF2D	1.994047469
EIF2D	POLD1	1.994047469
TAPT1	ACSS3	1.990040195
ACSS3	TAPT1	1.990040195
VIM	SYNM	1.988221322
SYNM	VIM	1.988221322
CD74	HLA-DRA	1.987887775
HLA-DRA	CD74	1.987887775
NME5	KRT17	1.987885737
KRT17	NME5	1.987885737
PSMB10	PYCARD	1.984758716
PYCARD	PSMB10	1.984758716
POLD1	ZNF579	1.984005582
ZNF579	POLD1	1.984005582
PTPRC	ITGB2	1.98398262
ITGB2	PTPRC	1.98398262
NME5	POLD1	1.981738354
POLD1	NME5	1.981738354
FCER1G	FCGR1A	1.971391921
FCGR1A	FCER1G	1.971391921
ITGAV	LRP1	1.969955351
LRP1	ITGAV	1.969955351
ITGB2	CYBB	1.969841991
CYBB	ITGB2	1.969841991
HCLS1	FCER1G	1.969399207
FCER1G	HCLS1	1.969399207
PTPRC	CYBB	1.969306574
CYBB	PTPRC	1.969306574
TTC39C	POLD1	1.969170669
POLD1	TTC39C	1.969170669
KIF13B	GBP1	1.964614763
GBP1	KIF13B	1.964614763
LRP1B	ZNF579	1.963793869
ZNF579	LRP1B	1.963793869
PTPRC	PYCARD	1.962973285
PYCARD	PTPRC	1.962973285
CA3	ACSS3	1.960215998
ACSS3	CA3	1.960215998
MVP	ITGA3	1.959185916
ITGA3	MVP	1.959185916
SIRT2	CNP	1.957098656
CNP	SIRT2	1.957098656
TTC39C	ACSS3	1.954083271
ACSS3	TTC39C	1.954083271
SQOR	HLA-DRA	1.952870117
HLA-DRA	SQOR	1.952870117
HCLS1	PYCARD	1.95224477
PYCARD	HCLS1	1.95224477
PTPRC	FCGR1A	1.952186086
FCGR1A	PTPRC	1.952186086
GBP2	GBP1	1.949151579
GBP1	GBP2	1.949151579
PSMB10	PTPRC	1.948321998
PTPRC	PSMB10	1.948321998
SQOR	ITGB2	1.947352055
ITGB2	SQOR	1.947352055
PSMB10	HCLS1	1.945857391
HCLS1	PSMB10	1.945857391
PTPRC	FCER1G	1.945087029
FCER1G	PTPRC	1.945087029
PTPRC	HCLS1	1.944204797
HCLS1	PTPRC	1.944204797
TAPT1	ZNF579	1.94184873
ZNF579	TAPT1	1.94184873
TAPT1	POLD1	1.941007417
POLD1	TAPT1	1.941007417
GBP2	APOL2	1.939031575
APOL2	GBP2	1.939031575
TMOD2	MRAS	1.938218832
MRAS	TMOD2	1.938218832
ITGB2	FCER1G	1.934447068
FCER1G	ITGB2	1.934447068
CYBB	FCER1G	1.933963709
FCER1G	CYBB	1.933963709
HCLS1	FCGR1A	1.93384098
FCGR1A	HCLS1	1.93384098
SLC1A2	TMOD2	1.93172236
TMOD2	SLC1A2	1.93172236
TTC39C	NME5	1.93135733
NME5	TTC39C	1.93135733
ITGB2	PYCARD	1.931218648
PYCARD	ITGB2	1.931218648
CA3	NME5	1.930531181
NME5	CA3	1.930531181
PYGL	EHD4	1.930397823
EHD4	PYGL	1.930397823
CYBB	FCGR1A	1.927114587
FCGR1A	CYBB	1.927114587
SQOR	PTPRC	1.927038286
PTPRC	SQOR	1.927038286
PDXP	KRT17	1.926839867
KRT17	PDXP	1.926839867
MVP	GBP2	1.92663738
GBP2	MVP	1.92663738
GNB1	GNAO1	1.926603938
GNAO1	GNB1	1.926603938
LRP1B	TAPT1	1.925278737
TAPT1	LRP1B	1.925278737
PSMB10	SQOR	1.923868049
SQOR	PSMB10	1.923868049
EHD4	LRP1	1.921636604
LRP1	EHD4	1.921636604
ITGB2	FCGR1A	1.918183396
FCGR1A	ITGB2	1.918183396
LRP1B	EIF2D	1.917620213
EIF2D	LRP1B	1.917620213
APBB1IP	FCER1G	1.909544545
FCER1G	APBB1IP	1.909544545
PHLDB1	LRP1	1.908896295
LRP1	PHLDB1	1.908896295
MAPK1	MRAS	1.908878578
MRAS	MAPK1	1.908878578
HLA-DRA	FCER1G	1.907706966
FCER1G	HLA-DRA	1.907706966
DNM3	SYNJ1	1.907231177
SYNJ1	DNM3	1.907231177
PYCARD	FCER1G	1.905906374
FCER1G	PYCARD	1.905906374
EPB41L1	MRAS	1.904988339
MRAS	EPB41L1	1.904988339
GNB1	GNAQ	1.90467043
GNAQ	GNB1	1.90467043
SQOR	CYBB	1.901426304
CYBB	SQOR	1.901426304
SYNJ1	MAP1A	1.898554178
MAP1A	SYNJ1	1.898554178
LSAMP	TMOD2	1.897869949
TMOD2	LSAMP	1.897869949
PLCB1	TMOD2	1.897749077
TMOD2	PLCB1	1.897749077
TAPT1	EIF2D	1.897428631
EIF2D	TAPT1	1.897428631
PSMB10	FCER1G	1.896614124
FCER1G	PSMB10	1.896614124
HCLS1	APBB1IP	1.895280745
APBB1IP	HCLS1	1.895280745
CYBB	PYCARD	1.894823095
PYCARD	CYBB	1.894823095
CNTNAP1	MAP1A	1.893934682
MAP1A	CNTNAP1	1.893934682
APBB1IP	CYBB	1.893754278
CYBB	APBB1IP	1.893754278
HLA-DRA	HCLS1	1.893400484
HCLS1	HLA-DRA	1.893400484
NME5	ACSS3	1.892338991
ACSS3	NME5	1.892338991
CNP	SYNJ1	1.892279069
SYNJ1	CNP	1.892279069
CNTNAP1	SYNJ1	1.891942513
SYNJ1	CNTNAP1	1.891942513
HCLS1	SAMHD1	1.891155713
SAMHD1	HCLS1	1.891155713
SQOR	CD74	1.89102397
CD74	SQOR	1.89102397
TMOD2	DPP6	1.890539632
DPP6	TMOD2	1.890539632
DNM3	ATP6V1G2	1.890361887
ATP6V1G2	DNM3	1.890361887
HLA-DRA	ITGA3	1.890121657
ITGA3	HLA-DRA	1.890121657
APOL2	GBP1	1.888190714
GBP1	APOL2	1.888190714
IGSF8	CNP	1.888077432
CNP	IGSF8	1.888077432
LSAMP	DPP6	1.887965876
DPP6	LSAMP	1.887965876
GPM6B	NFASC	1.887737126
NFASC	GPM6B	1.887737126
PHLDB1	GBP1	1.887533683
GBP1	PHLDB1	1.887533683
CD74	HCLS1	1.8857444
HCLS1	CD74	1.8857444
TPPP	NFASC	1.884677328
NFASC	TPPP	1.884677328
SQOR	FCER1G	1.884294607
FCER1G	SQOR	1.884294607
IGSF8	CNTNAP1	1.8833872
CNTNAP1	IGSF8	1.8833872
ITGB2	HCLS1	1.880203471
HCLS1	ITGB2	1.880203471
APOL2	CYBB	1.878892211
CYBB	APOL2	1.878892211
SQOR	PYCARD	1.878494274
PYCARD	SQOR	1.878494274
APBB1IP	FCGR1A	1.877978793
FCGR1A	APBB1IP	1.877978793
DPYSL2	MAPK1	1.876607658
MAPK1	DPYSL2	1.876607658
ITGA3	SYNM	1.875105934
SYNM	ITGA3	1.875105934
SQOR	FCGR1A	1.874551288
